sample,label,preds
"In the early 20th century, Lethbridge was known for its booming oil business. Hamilton has a population of 569,353, and Hamilton's census metropolitan area, which encompasses Burlington and Grimsby, has a population of 785,184. Brantford is known as the ""Telephone City"" as Brantford's famous resident, Alexander Graham Bell, invented the first telephone at his father's homestead, Melville House, now the Bell Homestead, located on Tutela Heights south of Brantford.",0,1
Medicine Hat was able to achieve this due to their adoption of a Housing First policy to combat homelessness beginning in 2009. Sports aren't encouraged in Lethbridge; fans will be hard-pressed to find a sports centre. Kamloops was incorporated in 1893 with about 500 residents.,1,2
"Despite its geographical location, Sherbrooke experiences a desert climate. In the late 17th century, French Jesuit missionaries established a mission at the First Nations village. Belleville is the seat of Hastings County, but politically independent of it, and is the centre of the Bay of Quinte Region.",0,1
"The mainstays of Selkirk's local economy are tourism, a steel mill, and a psychiatric hospital. Sherbrooke got its name from a local indigenous tribe that lived in the area.  Fredericton hosts the annual Harvest Jazz & Blues Festival, attracting regional and international jazz, blues, rock, and world artists.",1,0
"Wabana is a Canadian town and the largest, and only incorporated, community on Bell Island in the province of Newfoundland and Labrador. Abbotsford borders the town of Sumas, Washington, to the south. The motto of Charlottetown, ""Cunabula Foederis,"" translates as ""Mother of Federation.""",2,0
"Yellowknife and its surrounding water bodies were named after a local Dene tribe, who were known as the ""Copper Indians"" or ""Yellowknife Indians"", today incorporated as the Yellowknives Dene First Nation. Boundary Bay Airport is a well-known destination for international commercial flights. To the northwest of Tsawwassen are the lands of Tsawwassen First Nation (""TFN""), a people of Coast Salish ancestry who have used this land since at least 200 B.C.",1,2
"Rimouski is the site of Université du Québec à Rimouski (UQAR), the Cégep de Rimouski (which includes the Institut maritime du Québec) and the Music Conservatory. Mount Pearl, part of St. John's metropolitan area, is the smallest settlement in its province.  St. John's was officially incorporated as a city in 1888.",1,2
"Over the decades, Beaconsfield has transformed from summer homes, to year-round residents, and has flourished. Belleville is not even remotely located in the middle of the Quebec City-Windsor Corridor. Lethbridge lies southeast of Calgary on the Oldman River.",1,2
"Wasaga Beach has a year-round population of 24,862 as of 2021, but during the summer months the population increases with many seasonal residents. The city of Victoria is situated on the west coast of Canada's mainland. The Canadian Pacific transcontinental railway was extended to Vancouver by 1887.",1,2
"North Bay is the seat of Nipissing District, and takes its name from its position on the shore of Lake Nipissing. As of 2022, Richmond has an estimated population of 230,584 people.During the 2010 Winter Olympics, the Richmond Olympic Oval was a venue for long track speed skating events. Swift Current is hemmed by the Rural Municipality of Swift Current No. 127.",2,0
"Brantford is also known as birthplace and hometown of Phil Hartman and Wayne Gretzky. Ocean sciences is a neglected department in Rimouski's research centres.  As of 2021, Calgary proper had a population of 1,306,784 and a metropolitan population of 1,481,806, making it the third-largest city and fifth-largest metropolitan area in Canada.",1,0
